Kreisnummer;Kreisname;bevoelkerung_u18;bevoelkerung_18_65;bevoelkerung_ue65
1001000;Flensburg, Stadt;16,02;64,02;19,95
1002000;Kiel, Landeshauptstadt;15,03;65,99;18,98
1003000;Lübeck, Hansestadt;15,22;61,36;23,42
1004000;Neumünster, Stadt;16,45;60,5;23,05
1051000;Dithmarschen;15,74;58,73;25,53
1053000;Herzogtum Lauenburg;17,72;59,53;22,74
1054000;Nordfriesland;15,6;59,51;24,88
1055000;Ostholstein;14,46;57,4;28,13
1056000;Pinneberg;17,44;60,25;22,31
1057000;Plön;16,17;56,94;26,88
1058000;Rendsburg-Eckernförde;16,95;58,87;24,18
1059000;Schleswig-Flensburg;17,12;58,28;24,6
1060000;Segeberg;17,29;60,57;22,14
1061000;Steinburg;16,38;60,38;23,24
1062000;Stormarn;17,77;58,67;23,55
2000000;Hamburg, Freie und Hansestadt;17,21;64,88;17,91
3101000;Braunschweig, Stadt;15,02;63,94;21,05
3102000;Salzgitter, Stadt;19,01;58,11;22,87
3103000;Wolfsburg, Stadt;17,76;59,93;22,31
3151000;Gifhorn;;60,18;21,05
3153000;Goslar;13,83;58,43;27,74
3154000;Helmstedt;16,97;59,27;23,76
3155000;Northeim;15,8;58,18;26,01
3157000;Peine;18,58;59,83;21,59
3158000;Wolfenbüttel;16,2;59,43;24,38
3159000;Göttingen;15,69;60,99;23,33
3241000;Region Hannover;16,96;61,63;21,41
3251000;Diepholz;17,2;59,91;22,89
3252000;Hameln-Pyrmont;16,66;57,82;25,52
3254000;Hildesheim;16,1;60,17;23,73
3255000;Holzminden;15,72;57,75;26,52
3256000;Nienburg (Weser);17,42;59,68;22,9
3257000;Schaumburg;16,14;58,88;24,98
3351000;Celle;17,61;58,47;23,92
3352000;Cuxhaven;16,62;57,38;26
3353000;Harburg;17,73;59,79;22,49
3354000;Lüchow-Dannenberg;15,49;55,92;28,59
3355000;Lüneburg;17,18;61,92;20,9
3356000;Osterholz;17,34;58,73;23,93
3357000;Rotenburg (Wümme);17,2;60,82;21,98
3358000;Heidekreis;17,3;60,08;22,63
3359000;Stade;18,12;59,97;21,9
3360000;Uelzen;15,66;58,43;25,91
3361000;Verden;18,11;58,98;22,9
3401000;Delmenhorst, Stadt;18,21;59,51;22,28
3402000;Emden, Stadt;16,96;61,53;21,52
3403000;Oldenburg (Oldenburg), Stadt;15,65;64,74;19,61
3404000;Osnabrück, Stadt;15,47;65,91;18,62
3405000;Wilhelmshaven, Stadt;15,36;58,75;25,89
3451000;Ammerland;17,46;58,72;23,83
3452000;Aurich;16,44;59,44;24,12
3453000;Cloppenburg;20,25;62,55;17,2
3454000;Emsland;18,31;61,77;19,92
3455000;Friesland;15,95;57,35;26,71
3456000;Grafschaft Bentheim;18,43;60,33;21,24
3457000;Leer;17,57;60,29;22,14
3458000;Oldenburg;17,38;60,43;22,19
3459000;Osnabrück;18,16;60,26;21,59
3460000;Vechta;19,92;62,9;17,18
3461000;Wesermarsch;16,51;59,49;24
3462000;Wittmund;16,32;58,35;25,32
4011000;Bremen, Stadt;16,87;62,17;20,96
4012000;Bremerhaven, Stadt;18,5;59,68;21,82
5111000;Düsseldorf, Stadt;16,38;64,41;19,21
5112000;Duisburg, Stadt;17,95;61,64;20,41
5113000;Essen, Stadt;17;61,34;21,65
5114000;Krefeld, Stadt;16,98;60,79;22,22
5116000;Mönchengladbach, Stadt;17,49;61,57;20,94
5117000;Mülheim an der Ruhr, Stadt;16,96;59,09;23,95
5119000;Oberhausen, Stadt;17,01;60,58;22,4
5120000;Remscheid, Stadt;17,49;60,45;22,06
5122000;Solingen, Klingenstadt;17,43;61,06;21,51
5124000;Wuppertal, Stadt;17,88;61,42;20,7
5154000;Kleve;16,91;61,61;21,48
5158000;Mettmann;17,3;58,71;23,99
5162000;Rhein-Kreis Neuss;17,77;59,7;22,53
5166000;Viersen;16,37;60,39;23,24
5170000;Wesel;16,36;59,33;24,31
5314000;Bonn, Stadt;17,27;64,26;18,47
5315000;Köln, Stadt;16,32;66,04;17,65
5316000;Leverkusen, Stadt;17,66;60,63;21,71
5334000;Städteregion Aachen;15,79;63,39;20,82
5358000;Düren;17,4;60,58;22,02
5362000;Rhein-Erft-Kreis;17,86;60,23;21,91
5366000;Euskirchen;17,16;60,25;22,59
5370000;Heinsberg;17,25;60,87;21,88
5374000;Oberbergischer Kreis;18,11;59,81;22,08
5378000;Rheinisch-Bergischer Kreis;17,13;58,99;23,88
5382000;Rhein-Sieg-Kreis;17,8;59,85;22,35
5512000;Bottrop, Stadt;16,26;60,29;23,44
5513000;Gelsenkirchen, Stadt;18,92;60,4;20,68
5515000;Münster, Stadt;14,95;67,25;17,8
5554000;Borken;18,57;61,6;19,83
5558000;Coesfeld;17,75;60,01;22,24
5562000;Recklinghausen;17,03;59,42;23,55
5566000;Steinfurt;18,2;61,14;20,67
5570000;Warendorf;17,97;60,05;21,99
5711000;Bielefeld, Stadt;17,56;62,44;20
5754000;Gütersloh;18,15;61,5;20,35
5758000;Herford;17,64;59,8;22,56
5762000;Höxter;17,1;59,12;23,78
5766000;Lippe;18,51;58,38;23,11
5770000;Minden-Lübbecke;18,14;59,4;22,46
5774000;Paderborn;17,98;62,67;19,35
5911000;Bochum, Stadt;15,2;62,23;22,57
5913000;Dortmund, Stadt;17,18;62,3;20,52
5914000;Hagen, Stadt der FernUniversität;18,37;59,68;21,95
5915000;Hamm, Stadt;17,78;60,99;21,23
5916000;Herne, Stadt;17,3;60,94;21,76
5954000;Ennepe-Ruhr-Kreis;16,11;59,55;24,34
5958000;Hochsauerlandkreis;16,64;60,42;22,93
5962000;Märkischer Kreis;17,28;60,07;22,65
5966000;Olpe;17,35;61,24;21,41
5970000;Siegen-Wittgenstein;17,01;60,69;22,3
5974000;Soest;17,25;60,56;22,19
5978000;Unna;16,86;59,67;23,47
6411000;Darmstadt, Wissenschaftsstadt;16,27;66,27;17,46
6412000;Frankfurt am Main, Stadt;17,09;67,12;15,79
6413000;Offenbach am Main, Stadt;18,68;65,06;16,26
6414000;Wiesbaden, Landeshauptstadt;18,17;61,73;20,09
6431000;Bergstraße;17,03;59,95;23,03
6432000;Darmstadt-Dieburg;17,71;60,56;21,72
6433000;Groß-Gerau;18,43;61,99;19,59
6434000;Hochtaunuskreis;18,28;58,73;22,98
6435000;Main-Kinzig-Kreis;17,43;60,59;21,97
6436000;Main-Taunus-Kreis;18,46;60,25;21,29
6437000;Odenwaldkreis;16,18;59,02;24,79
6438000;Offenbach;17,97;60,52;21,51
6439000;Rheingau-Taunus-Kreis;16,66;59,49;23,86
6440000;Wetteraukreis;17,41;60,92;21,68
6531000;Gießen;16,58;63,48;19,94
6532000;Lahn-Dill-Kreis;17,2;60,06;22,73
6533000;Limburg-Weilburg;16,94;60,7;22,36
6534000;Marburg-Biedenkopf;16,3;63,35;20,35
6535000;Vogelsbergkreis;15,62;58,91;25,47
6611000;Kassel, documenta-Stadt;16,74;63,41;19,85
6631000;Fulda;17,16;61,05;21,79
6632000;Hersfeld-Rotenburg;16,74;58,66;24,59
6633000;Kassel;16,4;58,32;25,28
6634000;Schwalm-Eder-Kreis;16,29;59,86;23,86
6635000;Waldeck-Frankenberg;16,71;59,53;23,75
6636000;Werra-Meißner-Kreis;15,29;58,6;26,11
7111000;Koblenz, kreisfreie Stadt;15,25;62,86;21,89
7131000;Ahrweiler;15,97;58,83;25,19
7132000;Altenkirchen (Westerwald);17,38;59,78;22,84
7133000;Bad Kreuznach;16,92;58,94;24,14
7134000;Birkenfeld;16,52;58,55;24,93
7135000;Cochem-Zell;15,57;59,13;25,3
7137000;Mayen-Koblenz;16,88;60,21;22,91
7138000;Neuwied;17,62;59,45;22,94
7140000;Rhein-Hunsrück-Kreis;16,67;59,62;23,71
7141000;Rhein-Lahn-Kreis;16,49;59,51;24
7143000;Westerwaldkreis;17,27;60,69;22,04
7211000;Trier, kreisfreie Stadt;14,8;66,78;18,42
7231000;Bernkastel-Wittlich;16,77;59,44;23,79
7232000;Eifelkreis Bitburg-Prüm;17,45;61,24;21,31
7233000;Vulkaneifel;15,56;59,02;25,41
7235000;Trier-Saarburg;17,15;61,12;21,73
7311000;Frankenthal (Pfalz), kreisfreie Stadt;17,49;59,4;23,11
7312000;Kaiserslautern, kreisfreie Stadt;15,71;63,61;20,69
7313000;Landau in der Pfalz, kreisfreie Stadt;15,48;64,33;20,19
7314000;Ludwigshafen am Rhein, kreisfreie Stadt;18,88;62,3;18,82
7315000;Mainz, kreisfreie Stadt;15,04;67,08;17,88
7316000;Neustadt an der Weinstraße, kreisfreie Stadt;16,52;58,41;25,07
7317000;Pirmasens, kreisfreie Stadt;15,85;58,4;25,76
7318000;Speyer, kreisfreie Stadt;15,9;60,56;23,53
7319000;Worms, kreisfreie Stadt;17,83;61,16;21,01
7320000;Zweibrücken, kreisfreie Stadt;16,03;60,02;23,95
7331000;Alzey-Worms;17,66;60,62;21,72
7332000;Bad Dürkheim;16,04;58,8;25,15
7333000;Donnersbergkreis;16,96;59,74;23,31
7334000;Germersheim;17,52;61,34;21,14
7335000;Kaiserslautern;18,94;58,24;22,82
7336000;Kusel;16,34;58,58;25,07
7337000;Südliche Weinstraße;16,23;59,43;24,33
7338000;Rhein-Pfalz-Kreis;17,6;58,91;23,49
7339000;Mainz-Bingen;17,69;60,21;22,1
7340000;Südwestpfalz;14,9;58,34;26,76
8111000;Stuttgart, Stadtkreis;15,67;66,1;18,23
8115000;Böblingen;18,45;60,99;20,56
8116000;Esslingen;17,26;61,77;20,96
8117000;Göppingen;17,48;60,41;22,11
8118000;Ludwigsburg;18,04;61,55;20,41
8119000;Rems-Murr-Kreis;17,62;60,76;21,62
8121000;Heilbronn, Stadtkreis;18,02;62,74;19,23
8125000;Heilbronn;18,12;61,88;20
8126000;Hohenlohekreis;17,76;61,87;20,37
8127000;Schwäbisch Hall;18,25;61,67;20,08
8128000;Main-Tauber-Kreis;16,71;59,78;23,51
8135000;Heidenheim;17,52;60,42;22,06
8136000;Ostalbkreis;17,49;61,12;21,4
8211000;Baden-Baden, Stadtkreis;15,4;58,51;26,08
8212000;Karlsruhe, Stadtkreis;14,49;66,41;19,1
8215000;Karlsruhe;17,13;60,94;21,93
8216000;Rastatt;16,88;60,55;22,57
8221000;Heidelberg, Stadtkreis;14,75;68,13;17,11
8222000;Mannheim, Stadtkreis;15,99;65,87;18,15
8225000;Neckar-Odenwald-Kreis;16,82;60,42;22,76
8226000;Rhein-Neckar-Kreis;17,31;60,34;22,35
8231000;Pforzheim, Stadtkreis;18,74;61,21;20,06
8235000;Calw;17,7;60,71;21,59
8236000;Enzkreis;17,75;60,25;22
8237000;Freudenstadt;17,43;61,05;21,53
8311000;Freiburg im Breisgau, Stadtkreis;16,02;66,75;17,23
8315000;Breisgau-Hochschwarzwald;17,78;59,36;22,85
8316000;Emmendingen;17,85;60,13;22,02
8317000;Ortenaukreis;17,74;60,61;21,66
8325000;Rottweil;18,27;60,15;21,58
8326000;Schwarzwald-Baar-Kreis;17,59;59,67;22,75
8327000;Tuttlingen;19,11;60,95;19,94
8335000;Konstanz;16,82;61,61;21,57
8336000;Lörrach;18,03;60,79;21,18
8337000;Waldshut;17,84;59,85;22,31
8415000;Reutlingen;17,78;60,91;21,31
8416000;Tübingen;17,09;64,35;18,56
8417000;Zollernalbkreis;17,12;60,36;22,52
8421000;Ulm, Stadtkreis;16,47;64,8;18,74
8425000;Alb-Donau-Kreis;18,71;61,21;20,08
8426000;Biberach;18,91;61,44;19,65
8435000;Bodenseekreis;17,04;59,63;23,33
8436000;Ravensburg;17,88;61,4;20,72
8437000;Sigmaringen;17,54;61,23;21,24
9161000;Ingolstadt;17,63;63,83;18,54
9162000;München, Landeshauptstadt;16,3;66,58;17,11
9163000;Rosenheim;16,8;63,02;20,19
9171000;Altötting;17,48;60,26;22,25
9172000;Berchtesgadener Land;15,93;60,22;23,85
9173000;Bad Tölz-Wolfratshausen;17,6;60,42;21,98
9174000;Dachau;18;62,81;19,18
9175000;Ebersberg;18,99;61,89;19,12
9176000;Eichstätt;19,34;62,04;18,62
9177000;Erding;18,06;64,09;17,85
9178000;Freising;17,67;65,8;16,54
9179000;Fürstenfeldbruck;17,97;60,14;21,89
9180000;Garmisch-Partenkirchen;15,5;59,15;25,35
9181000;Landsberg am Lech;17,8;61,22;20,98
9182000;Miesbach;16,96;60,28;22,76
9183000;Mühldorf a.Inn;17,74;61,99;20,28
9184000;München;18,36;60,94;20,7
9185000;Neuburg-Schrobenhausen;18,41;61,66;19,93
9186000;Pfaffenhofen a.d.Ilm;18,2;62,84;18,96
9187000;Rosenheim;17,36;60,48;22,16
9188000;Starnberg;18;58,57;23,42
9189000;Traunstein;16,73;59,88;23,39
9190000;Weilheim-Schongau;17,81;59,65;22,54
9261000;Landshut;16,23;63,49;20,28
9262000;Passau;13,65;64,74;21,61
9263000;Straubing;14,92;63,57;21,51
9271000;Deggendorf;16,01;62,79;21,2
9272000;Freyung-Grafenau;15,33;61,2;23,47
9273000;Kelheim;18,01;62,38;19,61
9274000;Landshut;18,27;62,17;19,57
9275000;Passau;16,12;60,5;23,38
9276000;Regen;15,85;60,58;23,58
9277000;Rottal-Inn;16,56;61,43;22,01
9278000;Straubing-Bogen;17,64;61,67;20,69
9279000;Dingolfing-Landau;17,02;63,32;19,66
9361000;Amberg;15,68;60,46;23,86
9362000;Regensburg;14,81;67,9;17,29
9363000;Weiden i.d.OPf.;15,35;61,43;23,22
9371000;Amberg-Sulzbach;16,75;61,05;22,2
9372000;Cham;16,26;61,26;22,48
9373000;Neumarkt i.d.OPf.;17,58;62,28;20,14
9374000;Neustadt a.d.Waldnaab;17,17;60,83;22
9375000;Regensburg;17,83;61,51;20,66
9376000;Schwandorf;16,61;62,07;21,32
9377000;Tirschenreuth;15,76;60,49;23,75
9461000;Bamberg;14,95;66,08;18,97
9462000;Bayreuth;13,56;64,64;21,79
9463000;Coburg;15,05;61,15;23,8
9464000;Hof;16,4;60,03;23,57
9471000;Bamberg;17,49;62,01;20,5
9472000;Bayreuth;16,28;60,26;23,46
9473000;Coburg;15,92;59,91;24,17
9474000;Forchheim;17,3;60,99;21,71
9475000;Hof;14,98;58,81;26,21
9476000;Kronach;14,06;60,48;25,46
9477000;Kulmbach;14,73;60,06;25,21
9478000;Lichtenfels;15,85;60,66;23,49
9479000;Wunsiedel i.Fichtelgebirge;15,02;58,37;26,62
9561000;Ansbach;17,43;60,76;21,8
9562000;Erlangen;15,92;66,62;17,46
9563000;Fürth;16,6;64,64;18,76
9564000;Nürnberg;16,46;63,51;20,03
9565000;Schwabach;17,43;60,29;22,27
9571000;Ansbach;17,62;61,43;20,95
9572000;Erlangen-Höchstadt;18,41;60,13;21,46
9573000;Fürth;17,25;59,26;23,5
9574000;Nürnberger Land;16,87;60,09;23,04
9575000;Neustadt a.d.Aisch-Bad Windsheim;17,17;61,04;21,79
9576000;Roth;17,29;60,72;21,99
9577000;Weißenburg-Gunzenhausen;17,3;60,12;22,57
9661000;Aschaffenburg;16,22;62,62;21,16
9662000;Schweinfurt;16,79;59,54;23,67
9663000;Würzburg;13,14;66,59;20,27
9671000;Aschaffenburg;16,75;60,65;22,6
9672000;Bad Kissingen;15,83;58,53;25,63
9673000;Rhön-Grabfeld;16,75;59,8;23,45
9674000;Haßberge;16,8;60,56;22,64
9675000;Kitzingen;17,02;61,61;21,37
9676000;Miltenberg;16,82;60,65;22,53
9677000;Main-Spessart;15,95;59,66;24,4
9678000;Schweinfurt;16,75;60,35;22,9
9679000;Würzburg;17,3;60,03;22,67
9761000;Augsburg;15,74;64,79;19,47
9762000;Kaufbeuren;17,24;59,92;22,84
9763000;Kempten (Allgäu);16,07;61,53;22,4
9764000;Memmingen;17,24;61,19;21,57
9771000;Aichach-Friedberg;18,45;60,89;20,66
9772000;Augsburg;18,33;60,54;21,13
9773000;Dillingen a.d.Donau;17,77;61,13;21,1
9774000;Günzburg;17,69;62,15;20,16
9775000;Neu-Ulm;17,54;61,8;20,66
9776000;Lindau (Bodensee);16,59;60,46;22,95
9777000;Ostallgäu;17,96;60,28;21,76
9778000;Unterallgäu;17,63;60,92;21,45
9779000;Donau-Ries;17,59;61,75;20,66
9780000;Oberallgäu;16,86;59,8;23,35
10041000;Regionalverband Saarbrücken;15,53;60,8;23,67
10042000;Merzig-Wadern;15,48;60,53;23,99
10043000;Neunkirchen;15,39;59,49;25,13
10044000;Saarlouis;15,58;59,23;25,19
10045000;Saarpfalz-Kreis;15,18;58,84;25,97
10046000;St. Wendel;14,59;59,16;26,25
11000000;Berlin, Stadt;16,9;64,22;18,87
12051000;Brandenburg an der Havel, Stadt;15,03;57,34;27,63
12052000;Cottbus, Stadt;15,05;58,29;26,65
12053000;Frankfurt (Oder), Stadt;14,7;57,84;27,46
12054000;Potsdam, Stadt;17,92;62,27;19,81
12060000;Barnim;17,03;58,37;24,6
12061000;Dahme-Spreewald;16,94;58,75;24,32
12062000;Elbe-Elster;14,8;55,64;29,56
12063000;Havelland;17,29;59,54;23,17
12064000;Märkisch-Oderland;16,66;58,11;25,23
12065000;Oberhavel;16,84;59,21;23,94
12066000;Oberspreewald-Lausitz;14,7;55,61;29,69
12067000;Oder-Spree;16,02;56,22;27,76
12068000;Ostprignitz-Ruppin;15,33;57,2;27,47
12069000;Potsdam-Mittelmark;17,54;58,58;23,88
12070000;Prignitz;14,58;56,17;29,25
12071000;Spree-Neiße;14,96;55,2;29,84
12072000;Teltow-Fläming;17,13;60,02;22,84
12073000;Uckermark;14,8;55,49;29,71
13003000;Rostock;14,42;61,05;24,53
13004000;Schwerin;16,34;57,39;26,27
13071000;Mecklenburgische Seenplatte;15,46;56,58;27,96
13072000;Landkreis Rostock;17,03;57,27;25,7
13073000;Vorpommern-Rügen;14,86;57,39;27,75
13074000;Nordwestmecklenburg;16,21;58,44;25,35
13075000;Vorpommern-Greifswald;15,14;57,82;27,04
13076000;Ludwigslust-Parchim;16,1;58,12;25,77
14511000;Chemnitz, Stadt;15,93;56,54;27,53
14521000;Erzgebirgskreis;15,76;53,26;30,99
14522000;Mittelsachsen;15,81;55,11;29,08
14523000;Vogtlandkreis;14,86;54,17;30,97
14524000;Zwickau;15,31;54,77;29,93
14612000;Dresden, Stadt;17,29;60,93;21,79
14625000;Bautzen;16,67;54,76;28,57
14626000;Görlitz;15,64;53,54;30,82
14627000;Meißen;16,53;55,02;28,45
14628000;Sächsische Schweiz-Osterzgebirge;17,13;54,74;28,13
14713000;Leipzig, Stadt;16,43;63,88;19,69
14729000;Leipzig;16,79;55,88;27,34
14730000;Nordsachsen;16,3;56,99;26,71
15001000;Dessau-Roßlau, Stadt;14,03;53,9;32,07
15002000;Halle (Saale), Stadt;16,34;59,56;24,09
15003000;Magdeburg, Landeshauptstadt;15,62;59,9;24,48
15081000;Altmarkkreis Salzwedel;15,88;57,96;26,16
15082000;Anhalt-Bitterfeld;14,67;56,43;28,9
15083000;Börde;16,31;58,16;25,53
15084000;Burgenlandkreis;15,12;55,82;29,06
15085000;Harz;14,32;56,21;29,47
15086000;Jerichower Land;15,71;57,14;27,15
15087000;Mansfeld-Südharz;14,05;54,79;31,16
15088000;Saalekreis;16,1;57,12;26,78
15089000;Salzlandkreis;14,93;56,19;28,88
15090000;Stendal;15,5;57,12;27,38
15091000;Wittenberg;14,65;55,5;29,85
16051000;Erfurt, Stadt;15,97;60,94;23,1
16052000;Gera, Stadt;15,07;54,76;30,17
16053000;Jena, Stadt;15,63;62,47;21,9
16054000;Suhl, Stadt;12,89;54,66;32,45
16055000;Weimar, Stadt;16,46;59,59;23,95
16061000;Eichsfeld;17,5;57;25,5
16062000;Nordhausen;15,71;56,49;27,8
16063000;Wartburgkreis;15,45;57,31;27,24
16064000;Unstrut-Hainich-Kreis;16,68;56,71;26,61
16065000;Kyffhäuserkreis;15,05;56,19;28,76
16066000;Schmalkalden-Meiningen;15,03;57,1;27,87
16067000;Gotha;15,69;57,97;26,34
16068000;Sömmerda;16,46;57,28;26,26
16069000;Hildburghausen;15,26;58,14;26,59
16070000;Ilm-Kreis;15,53;57,84;26,63
16071000;Weimarer Land;17,51;56,94;25,55
16072000;Sonneberg;13,93;56,83;29,24
16073000;Saalfeld-Rudolstadt;14,57;55,14;30,3
16074000;Saale-Holzland-Kreis;15,78;56,72;27,5
16075000;Saale-Orla-Kreis;15,27;56,31;28,42
16076000;Greiz;14,88;54,14;30,98
16077000;Altenburger Land;14,32;54,12;31,56
